t,phase,relative_distance,rel_x,rel_y,rel_z,rel_vx,rel_vy,rel_vz,carrier_x,carrier_y,carrier_z,mini_x,mini_y,mini_z,carrier_sp_x,carrier_sp_y,carrier_sp_z,mini_target_x,mini_target_y,mini_target_z,measured_rel_x,measured_rel_y,measured_rel_z,measured_rel_distance,measured_rel_vx,measured_rel_vy,measured_rel_vz,measured_rel_speed
1.440,IDLE,52.130071,3.047062,51.735508,5.630000,-4.789998,8.778150,1.200000,54.000000,-30.000000,0.400000,57.047062,21.735508,6.030000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,3.047062,51.735508,5.630000,52.130071,-4.789998,8.778150,1.200000,10.071743
1.480,IDLE,52.130071,3.047062,51.735508,5.630000,-4.789998,8.778150,1.200000,54.000000,-30.000000,0.400000,56.803180,22.171996,6.090000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,2.803180,52.171996,5.690000,52.556171,-4.877624,8.729764,1.200000,10.071743
1.520,IDLE,52.556171,2.803180,52.171996,5.690000,-4.877624,8.729764,1.200000,54.000000,-30.000000,0.400000,56.803180,22.171996,6.090000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,2.803180,52.171996,5.690000,52.556171,-4.877624,8.729764,1.200000,10.071743
1.580,IDLE,52.980982,2.554954,52.606028,5.750000,-4.964520,8.680642,1.200000,54.000000,-30.000000,0.400000,56.302420,23.037568,6.210000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,2.302420,53.037568,5.810000,53.404502,-5.050688,8.630791,1.200000,10.071743
1.620,IDLE,53.404502,2.302420,53.037568,5.810000,-5.050688,8.630791,1.200000,54.000000,-30.000000,0.400000,56.045614,23.466579,6.270000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,2.045614,53.466579,5.870000,53.826726,-5.136131,8.580219,1.200000,10.071743
1.680,IDLE,53.826726,2.045614,53.466579,5.870000,-5.136131,8.580219,1.200000,54.000000,-30.000000,0.400000,55.784571,23.893025,6.330000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,1.784571,53.893025,5.930000,54.247652,-5.220851,8.528934,1.200000,10.071743
1.740,IDLE,54.667276,1.519328,54.316873,5.990000,-5.304850,8.476943,1.200000,54.000000,-30.000000,0.400000,55.519328,24.316873,6.390000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,1.519328,54.316873,5.990000,54.667276,-5.304850,8.476943,1.200000,10.071743
1.780,IDLE,54.667276,1.519328,54.316873,5.990000,-5.304850,8.476943,1.200000,54.000000,-30.000000,0.400000,55.249922,24.738085,6.450000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,1.249922,54.738085,6.050000,55.085595,-5.388129,8.424255,1.200000,10.071743
1.840,IDLE,55.502605,0.976387,55.156629,6.110000,-5.470691,8.370875,1.200000,54.000000,-30.000000,0.400000,54.976387,25.156629,6.510000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,0.976387,55.156629,6.110000,55.502605,-5.470691,8.370875,1.200000,10.071743
1.880,IDLE,55.502605,0.976387,55.156629,6.110000,-5.470691,8.370875,1.200000,54.000000,-30.000000,0.400000,54.698761,25.572470,6.570000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,0.698761,55.572470,6.170000,55.918302,-5.552536,8.316811,1.200000,10.071743
1.920,IDLE,55.918302,0.698761,55.572470,6.170000,-5.552536,8.316811,1.200000,54.000000,-30.000000,0.400000,54.698761,25.572470,6.570000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,0.698761,55.572470,6.170000,55.918302,-5.552536,8.316811,1.200000,10.071743
1.981,IDLE,56.332684,0.417077,55.985573,6.230000,-5.633667,8.262070,1.200000,54.000000,-30.000000,0.400000,54.417077,25.985573,6.630000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,0.417077,55.985573,6.230000,56.332684,-5.633667,8.262070,1.200000,10.071743
2.040,IDLE,57.157483,-0.158316,56.803435,6.350000,-5.793788,8.150584,1.200000,54.000000,-30.000000,0.400000,53.841684,26.803435,6.750000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-0.158316,56.803435,6.350000,57.157483,-5.793788,8.150584,1.200000,10.071743
2.080,IDLE,57.157483,-0.158316,56.803435,6.350000,-5.793788,8.150584,1.200000,54.000000,-30.000000,0.400000,53.548045,27.208128,6.810000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-0.451955,57.208128,6.410000,57.567893,-5.872780,8.093853,1.200000,10.071743
2.140,IDLE,57.976971,-0.749508,57.609951,6.470000,-5.951061,8.036471,1.200000,54.000000,-30.000000,0.400000,53.250492,27.609951,6.870000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-0.749508,57.609951,6.470000,57.976971,-5.951061,8.036471,1.200000,10.071743
2.180,IDLE,57.976971,-0.749508,57.609951,6.470000,-5.951061,8.036471,1.200000,54.000000,-30.000000,0.400000,52.949060,28.008874,6.930000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-1.050940,58.008874,6.530000,58.384714,-6.028632,7.978446,1.200000,10.071743
2.240,IDLE,58.791117,-1.356214,58.404863,6.590000,-6.105492,7.919783,1.200000,54.000000,-30.000000,0.400000,52.643786,28.404863,6.990000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-1.356214,58.404863,6.590000,58.791117,-6.105492,7.919783,1.200000,10.071743
2.280,IDLE,58.791117,-1.356214,58.404863,6.590000,-6.105492,7.919783,1.200000,54.000000,-30.000000,0.400000,52.334703,28.797887,7.050000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-1.665297,58.797887,6.650000,59.196176,-6.181643,7.860489,1.200000,10.071743
2.320,IDLE,59.196176,-1.665297,58.797887,6.650000,-6.181643,7.860489,1.200000,54.000000,-30.000000,0.400000,52.021849,29.187916,7.110000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-1.978151,59.187916,6.710000,59.599887,-6.257084,7.800571,1.200000,10.071743
2.381,IDLE,59.599887,-1.978151,59.187916,6.710000,-6.257084,7.800571,1.200000,54.000000,-30.000000,0.400000,51.705258,29.574918,7.170000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-2.294742,59.574918,6.770000,60.002246,-6.331815,7.740033,1.200000,10.071743
2.440,IDLE,60.403248,-2.615033,59.958862,6.830000,-6.405837,7.678884,1.200000,54.000000,-30.000000,0.400000,51.384967,29.958862,7.230000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-2.615033,59.958862,6.830000,60.403248,-6.405837,7.678884,1.200000,10.071743
2.481,IDLE,60.403248,-2.615033,59.958862,6.830000,-6.405837,7.678884,1.200000,54.000000,-30.000000,0.400000,51.061009,30.339718,7.290000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-2.938991,60.339718,6.890000,60.802889,-6.479148,7.617128,1.200000,10.071743
2.521,IDLE,60.802889,-2.938991,60.339718,6.890000,-6.479148,7.617128,1.200000,54.000000,-30.000000,0.400000,51.061009,30.339718,7.290000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-2.938991,60.339718,6.890000,60.802889,-6.479148,7.617128,1.200000,10.071743
2.580,IDLE,61.201165,-3.266578,60.717457,6.950000,-6.551750,7.554772,1.200000,54.000000,-30.000000,0.400000,50.402240,31.092048,7.410000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-3.597760,61.092048,7.010000,61.598070,-6.623641,7.491821,1.200000,10.071743
2.640,IDLE,61.993601,-3.932501,61.463462,7.070000,-6.694821,7.428282,1.200000,54.000000,-30.000000,0.400000,50.067499,31.463462,7.470000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-3.932501,61.463462,7.070000,61.993601,-6.694821,7.428282,1.200000,10.071743
